"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"234","ZBTB17",0.211,0.416,0.276,0.649,0.263,0.0817,234,1.08777794346758
"235","TOP1",0.583,0.28,0.548,0.615,0.263,0.082,235,1.08618614761628
"236","ZXDB",1.123,0.131,0.515,0.599,0.265,0.084,236,1.07572071393812
"237","NOTCH1",0.714,0.238,0.051,0.632,0.267,0.0857,237,1.0670191780768
"238","CDK6",1.023,0.153,0.313,0.611,0.269,0.0871,238,1.05998184499234
"239","POLR2B",1.159,0.123,-0.038,0.622,0.269,0.0875,239,1.05799194697769
"240","MBD3",0.264,0.396,0.05,0.651,0.27,0.0889,240,1.05109823902979
"241","ZBTB42",0.574,0.283,1.188,0.59,0.272,0.0907,241,1.0423927129399
"242","FOXD2",0.947,0.172,0.39,0.606,0.272,0.091,242,1.04095860767891
"243","ZNF28",0.588,0.278,1.117,0.59,0.275,0.0932,243,1.03058408764602
"244","BACH1",0.384,0.351,0.575,0.612,0.275,0.0936,244,1.02872415126189
"245","L3MBTL2",0.723,0.235,1.031,0.588,0.276,0.0951,245,1.02181948306259
"246","TCF7L1",-0.173,0.569,0.173,0.659,0.278,0.0969,246,1.01367622294923
"247","LEF1",0.302,0.382,-0.163,0.655,0.278,0.0969,247,1.01367622294923
"248","CHD5",0.535,0.296,1.176,0.588,0.278,0.0969,248,1.01367622294923
"249","PRDM10",0.762,0.223,0.844,0.589,0.279,0.0977,249,1.01010543628123
"250","HNF4G",-0.537,0.704,0.376,0.672,0.282,0.101,250,0.995678626217357
"251","GTF3C5",1.035,0.15,0.147,0.61,0.283,0.102,251,0.991399828238082
"252","XCL1",0.75,0.227,0.535,0.597,0.283,0.102,252,0.991399828238082
"253","HOXA6",0.869,0.193,0.343,0.602,0.285,0.105,253,0.978810700930062
"254","SP7",0.789,0.215,0.667,0.59,0.288,0.108,254,0.96657624451305
"255","MBTD1",0.843,0.2,0.345,0.601,0.288,0.108,255,0.96657624451305
"256","KLF5",0.109,0.456,-0.035,0.648,0.291,0.111,256,0.954677021213343
"257","ZFP37",0.964,0.168,0.367,0.595,0.291,0.111,257,0.954677021213343
"258","NPAT",0.904,0.183,0.187,0.604,0.294,0.114,258,0.943095148663527
"259","E2F5",0.708,0.239,0.667,0.589,0.294,0.114,259,0.943095148663527
"260","PRDM2",0.775,0.219,0.296,0.599,0.297,0.118,260,0.928117992693875
"261","SRSF3",1.073,0.142,-0.143,0.61,0.298,0.119,261,0.924453038607469
"262","NEUROG2",0.287,0.387,0.691,0.594,0.298,0.12,262,0.920818753952375
"263","ZNF141",0.361,0.359,1.12,0.582,0.3,0.121,263,0.91721462968355
"264","HIF1A",-0.247,0.598,0.37,0.628,0.301,0.122,264,0.913640169325252
"265","ZEB1",0.563,0.287,-0.326,0.639,0.301,0.123,265,0.910094888560602
"266","U2AF1",1.416,0.0784,-0.228,0.603,0.302,0.124,266,0.906578314837765
"267","NCOR1",0.595,0.276,0.042,0.609,0.306,0.129,267,0.889410289700751
"268","ETV1",0.193,0.424,-0.339,0.653,0.306,0.129,268,0.889410289700751
"269","SMC3",0.423,0.336,0.197,0.609,0.309,0.133,269,0.876148359032914
"270","ESCO2",0.598,0.275,0.461,0.591,0.31,0.133,270,0.876148359032914
"271","KAT5",0.945,0.172,-0.242,0.612,0.311,0.135,271,0.869666231504994
"272","PBX1",-0.016,0.506,0.932,0.591,0.312,0.137,272,0.863279432843593
"273","SUPT5H",0.414,0.34,-0.658,0.675,0.315,0.14,273,0.853871964321762
"274","GTF2I",-0.711,0.762,0.197,0.664,0.315,0.141,274,0.85078088734462
"275","TTF2",-0.004,0.502,-0.384,0.659,0.316,0.142,275,0.847711655616944
"276","ZFP64",-0.299,0.618,0.03,0.641,0.316,0.142,276,0.847711655616944
"277","BCL11A",-0.219,0.587,-0.161,0.646,0.318,0.144,277,0.84163750790475
"278","ZIC2",0.747,0.227,0.066,0.597,0.318,0.144,278,0.84163750790475
"279","ZFP57",0.035,0.486,0.742,0.59,0.318,0.145,279,0.838631997765025
"280","CCND2",0.701,0.242,0.172,0.595,0.318,0.145,280,0.838631997765025
"281","RAD21",0.026,0.49,0.335,0.607,0.321,0.148,281,0.829738284605043
"282","FXR1",0.645,0.259,0.209,0.593,0.321,0.148,282,0.829738284605043
"283","H2AFX",-0.428,0.666,1.013,0.598,0.322,0.15,283,0.823908740944319
"284","ZNF611",0.485,0.314,0.527,0.587,0.324,0.152,284,0.818156412055227
"285","ZBTB6",0.6,0.274,0.361,0.588,0.324,0.153,285,0.815308569182401
"286","ZNF71",0.835,0.202,-0.045,0.596,0.324,0.153,286,0.815308569182401
"287","FOXM1",0.166,0.434,-0.201,0.625,0.325,0.154,287,0.812479279163537
"288","TRAF7",1.112,0.133,-0.342,0.604,0.325,0.154,288,0.812479279163537
"289","ZNF479",0.264,0.396,0.752,0.579,0.326,0.156,289,0.806875401645538
"290","FOXP2",0.523,0.301,0.036,0.601,0.326,0.156,290,0.806875401645538
