"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"174","MKL2",1.752,0.0399,1.041,0.525,0.21,0.0416,174,1.38090666937326
"175","ZNF382",1.284,0.0996,2.131,0.491,0.211,0.0423,175,1.37365963262496
"176","TCF7L1",1.558,0.0596,1.405,0.511,0.212,0.0427,176,1.36957212497498
"177","HOXA9",1.161,0.123,1.798,0.512,0.213,0.0434,177,1.36251027048749
"178","ATF4",1.193,0.116,1.817,0.507,0.214,0.0438,178,1.3585258894959
"179","OSR2",1.238,0.108,1.939,0.499,0.214,0.0443,179,1.35359627377693
"180","PRDM10",1.296,0.0974,1.898,0.498,0.215,0.0447,180,1.34969247686806
"181","PRDM6",1.116,0.132,1.568,0.518,0.219,0.047,181,1.32790214206428
"182","TEAD1-TEAD4",1.09,0.138,1.719,0.515,0.219,0.0472,182,1.32605800136591
"183","IKZF2",1.331,0.0917,1.59,0.504,0.219,0.0475,183,1.32330639037513
"184","PITX3",0.917,0.18,2.29,0.498,0.22,0.0482,184,1.31695296176115
"185","ZNF770",0.95,0.171,2.14,0.501,0.221,0.0484,185,1.31515463835559
"186","ZNF467",1.13,0.129,1.495,0.519,0.221,0.0489,186,1.31069114087638
"187","GATA2",0.507,0.306,1.324,0.589,0.222,0.0491,187,1.30891850787703
"188","EED",0.604,0.273,1.044,0.659,0.222,0.0493,188,1.30715308072277
"189","BCAT1",1.169,0.121,2.014,0.495,0.224,0.0503,189,1.29843201494407
"190","TP73",1.426,0.0769,1.917,0.484,0.224,0.0508,190,1.29413628771608
"191","ZNF485",0.89,0.187,2.291,0.495,0.226,0.052,191,1.2839966563652
"192","DAXX",1.268,0.102,1.774,0.498,0.227,0.0525,192,1.27984069659404
"193","DPPA2",0.921,0.179,2.161,0.498,0.227,0.0528,193,1.27736607746619
"194","IKZF1",1.73,0.0418,1.189,0.504,0.233,0.0566,194,1.24718356881173
"195","ZNF320",1.177,0.12,2.131,0.482,0.235,0.0582,195,1.23507701535011
"196","TAZ",1.032,0.151,1.591,0.509,0.235,0.0585,196,1.23284413391782
"197","PGBD3",1.082,0.14,1.413,0.515,0.238,0.0604,197,1.21896306137887
"198","FEZF1",1.269,0.102,1.868,0.484,0.238,0.0609,198,1.21538270736712
"199","ZNF35",0.94,0.174,1.903,0.5,0.238,0.0609,199,1.21538270736712
"200","PRKDC",1.07,0.142,1.353,0.516,0.239,0.0618,200,1.20901152491118
"201","SON",1.06,0.145,1.377,0.512,0.244,0.0657,201,1.18243463044022
"202","ZNF425",0.867,0.193,2.095,0.493,0.245,0.0663,202,1.17848647159523
"203","ZNF664",1.012,0.156,2.135,0.483,0.246,0.0669,203,1.17457388223218
"204","GTF3C5",1.294,0.0978,0.567,0.533,0.247,0.0678,204,1.16877030613294
