"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"116","TERC",2.064,0.0195,2.071,0.494,0.142,0.0129,116,1.88941028970075
"117","REPIN1",1.144,0.126,2.012,0.532,0.143,0.0133,117,1.87614835903291
"118","SOX2",2.143,0.0161,1.702,0.517,0.145,0.0137,118,1.86327943284359
"119","PRDM1",1.76,0.0392,1.882,0.51,0.147,0.0144,119,1.84163750790475
"120","RING1",1.458,0.0724,1.994,0.511,0.148,0.0146,120,1.83564714421556
"121","TOP1",2.078,0.0189,1.836,0.505,0.15,0.0151,121,1.82102305270683
"122","ZNF354C",1.048,0.147,2.814,0.491,0.15,0.0153,122,1.8153085691824
"123","TBX21",1.951,0.0255,1.607,0.523,0.151,0.0155,123,1.80966830182971
"124","SND1",1.797,0.0361,1.668,0.52,0.152,0.0158,124,1.80134291304558
"125","DMC1",1.115,0.133,2.452,0.497,0.152,0.0158,125,1.80134291304558
"126","IRF5",1.096,0.137,2.472,0.495,0.153,0.0163,126,1.78781239559604
"127","DUX4",1.491,0.068,2.334,0.486,0.154,0.0164,127,1.7851561519523
"128","EHMT2",0.964,0.168,1.942,0.537,0.155,0.0167,128,1.77728352885242
"129","HHEX",1.442,0.0746,2.188,0.492,0.156,0.0172,129,1.76447155309245
"130","VDR",1.781,0.0374,1.073,0.562,0.157,0.0174,130,1.7594507517174
"131","CHD5",1.199,0.115,2.054,0.506,0.159,0.0181,131,1.74232142513082
"132","KDM3B",1.651,0.0494,1.522,0.53,0.159,0.0181,132,1.74232142513082
"133","PLRG1",1.153,0.125,2.591,0.482,0.161,0.0187,133,1.7281583934635
"134","SATB1",0.78,0.218,2.488,0.502,0.163,0.0196,134,1.70774392864352
"135","TERF1",1.292,0.0982,1.838,0.516,0.163,0.0196,135,1.70774392864352
"136","MED12",1.229,0.11,1.095,0.617,0.164,0.02,136,1.69897000433602
"137","HIRA",1.153,0.124,1.562,0.548,0.165,0.0201,137,1.69680394257951
"138","CD74",1.493,0.0677,1.06,0.569,0.167,0.021,138,1.67778070526608
"139","HOXB13",2.33,0.0099,1.975,0.479,0.167,0.021,139,1.67778070526608
"140","TLE3",1.6,0.0548,2.23,0.476,0.167,0.021,140,1.67778070526608
"141","HAND2",1.071,0.142,2.284,0.493,0.167,0.021,141,1.67778070526608
"142","CDK2",1.139,0.127,2.235,0.49,0.168,0.0213,142,1.67162039656126
"143","FOXK1",0.703,0.241,2.334,0.509,0.168,0.0214,143,1.66958622665081
"144","BCL6",1.901,0.0287,1.146,0.534,0.169,0.0217,144,1.66354026615147
"145","SCRT1",1.135,0.128,2.045,0.504,0.169,0.0218,145,1.6615435063954
"146","CBX5",1.128,0.13,2.043,0.505,0.169,0.0218,146,1.6615435063954
"147","TCF7L1",1.287,0.099,1.212,0.559,0.171,0.0225,147,1.64781748188864
"148","HDAC3",1.135,0.128,2.173,0.493,0.172,0.0228,148,1.64206515299955
"149","SSRP1",1.083,0.139,2.305,0.488,0.172,0.023,149,1.63827216398241
"150","TEAD4",1.572,0.0579,1.43,0.52,0.173,0.0234,150,1.63078414258986
"151","SMARCA2",1.383,0.0833,2.07,0.488,0.173,0.0234,151,1.63078414258986
"152","BATF3",1.347,0.0889,1.578,0.524,0.174,0.0237,152,1.6252516539899
"153","TLX1",1.195,0.116,1.904,0.505,0.174,0.0239,153,1.62160209905186
"154","MTA2",1.553,0.0602,1.594,0.509,0.176,0.0246,154,1.60906489289662
"155","ZNF436",1.143,0.127,1.99,0.5,0.178,0.0255,155,1.59345981956604
"156","HOXC9",1.239,0.108,2.171,0.482,0.179,0.0258,156,1.58838029403677
"157","MYOD1",1.568,0.0584,1.877,0.488,0.18,0.0263,157,1.58004425151024
"158","CEBPG",1.411,0.0792,2.055,0.481,0.183,0.0274,158,1.56224943717961
"159","PIAS1",1.595,0.0553,1.821,0.489,0.183,0.0276,159,1.55909091793478
"160","PCGF2",1.57,0.0582,1.55,0.503,0.185,0.0284,160,1.54668165995296
"161","JMJD6",1.935,0.0265,0.311,0.58,0.188,0.0299,161,1.52432881167557
"162","MLLT3",1.168,0.121,1.795,0.502,0.189,0.0304,162,1.51712641639125
"163","MAFF",1.049,0.147,2.323,0.476,0.19,0.0308,163,1.51144928349956
"164","HMG20A",1.251,0.106,1.521,0.511,0.191,0.0313,164,1.50445566245355
"165","GTF2I",1.986,0.0235,1.297,0.502,0.191,0.0315,165,1.5016894462104
"166","SMARCA4",1.589,0.056,0.616,0.556,0.192,0.0317,166,1.49894073778225
"167","MYB",2.323,0.0101,1.235,0.497,0.193,0.0326,167,1.48678239993206
"168","CREBBP",0.928,0.177,1.3,0.541,0.194,0.0331,168,1.48017200622428
