"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"141","STAT1",2.431,0.00754,1.324,0.566,0.183,0.0277,141,1.55752023093555
"142","NEUROG2",2.847,0.0022,1.579,0.545,0.185,0.0286,142,1.54363396687096
"143","ZBTB17",1.12,0.131,1.74,0.588,0.186,0.0289,143,1.53910215724345
"144","ZBTB2",1.526,0.0635,1.85,0.552,0.188,0.0297,144,1.52724355068279
"145","TEAD2",1.354,0.0879,2.386,0.535,0.189,0.0304,145,1.51712641639125
"146","DNMT1",1.162,0.123,1.68,0.577,0.193,0.0322,146,1.49214412830417
"147","ZFP41",1.287,0.0991,2.584,0.532,0.193,0.0322,147,1.49214412830417
"148","TCF7L1",1.877,0.0303,1.632,0.548,0.196,0.0338,148,1.47108329972235
"149","MITF",1.388,0.0826,2.138,0.538,0.196,0.034,149,1.46852108295774
"150","TRIM24",1.294,0.0978,1.873,0.551,0.198,0.035,150,1.45593195564972
"151","MCM2",1.1,0.136,2.377,0.544,0.198,0.0352,151,1.45345733652187
"152","CLOCK",0.509,0.305,2.239,0.609,0.2,0.0361,152,1.44249279809434
"153","HIF1A",1.052,0.147,2.732,0.535,0.201,0.0365,153,1.43770713554353
"154","MAX",2.4,0.00821,0.543,0.609,0.201,0.0367,154,1.43533393574791
"155","BHLHE40",1.179,0.119,1.248,0.602,0.202,0.0369,155,1.43297363384094
"156","ZNF585B",1.064,0.144,2.728,0.534,0.202,0.0369,156,1.43297363384094
"157","AEBP2",1.201,0.115,2.286,0.536,0.203,0.0379,157,1.42136079003193
"158","ZMYND8",1.843,0.0327,0.923,0.586,0.204,0.0383,158,1.41680122603138
"159","REST",1.211,0.113,1.552,0.571,0.206,0.0391,159,1.40782324260413
"160","ARNT",0.987,0.162,2.255,0.547,0.207,0.0402,160,1.39577394691553
"161","FOXH1",1.142,0.127,1.93,0.549,0.209,0.041,161,1.38721614328026
"162","ZNF438",1.102,0.135,2.192,0.544,0.211,0.0421,162,1.37571790416433
"163","IKZF1",2.114,0.0173,1.357,0.547,0.211,0.0423,163,1.37365963262496
"164","IKZF2",1.469,0.0709,1.778,0.544,0.211,0.0423,164,1.37365963262496
"165","MAFG",1.254,0.105,2.339,0.529,0.212,0.0427,165,1.36957212497498
"166","ASCL1",1.139,0.127,1.331,0.587,0.212,0.0429,166,1.36754270781528
"167","TOP1",1.395,0.0815,1.248,0.572,0.212,0.0429,167,1.36754270781528
"168","BRD7",1.267,0.103,1.63,0.555,0.213,0.0436,168,1.36051351073141
"169","ZEB1",1.435,0.0757,0.768,0.613,0.213,0.0436,169,1.36051351073141
"170","VDR",1.257,0.104,0.696,0.656,0.214,0.0443,170,1.35359627377693
"171","DACOR1",0.953,0.17,2.596,0.534,0.216,0.0456,171,1.34103515733556
"172","RYBP",1.992,0.0232,0.728,0.58,0.217,0.0458,172,1.33913452199613
"173","ING5",0.912,0.181,2.922,0.531,0.218,0.0465,173,1.33254704711005
"174","KLF16",1.326,0.0925,1.868,0.537,0.22,0.0479,174,1.31966448658544
"175","SNAI2",2.114,0.0173,1.257,0.545,0.221,0.0486,175,1.31336373073771
"176","ZFP64",1.128,0.13,2.035,0.539,0.222,0.0491,176,1.30891850787703
"177","FLI1",1.58,0.057,1.058,0.566,0.223,0.0501,177,1.30016227413275
"178","EGR3",1.16,0.123,1.749,0.548,0.226,0.0518,178,1.28567024025477
"179","MYOG",1.002,0.158,1.937,0.546,0.226,0.052,179,1.2839966563652
"180","ZNF366",1.216,0.112,2.134,0.529,0.226,0.0523,180,1.28149831113273
"181","HIC1",1.358,0.0872,1.721,0.538,0.228,0.0535,181,1.27164621797877
"182","CHRM2",1.036,0.15,1.105,0.597,0.229,0.0538,182,1.26921772433361
"183","ICE1",1.367,0.0857,1.775,0.535,0.229,0.054,183,1.26760624017703
"184","PRDM1",1.161,0.123,1.331,0.569,0.23,0.0545,184,1.26360349772336
"185","DUX4",0.886,0.188,1.876,0.556,0.23,0.0545,185,1.26360349772336
"186","ZNF362",1.178,0.119,2.204,0.525,0.231,0.0556,186,1.25492520841794
"187","MEF2A",0.92,0.179,1.175,0.605,0.232,0.0558,187,1.25336580106242
"188","SMARCE1",1.214,0.112,2.433,0.518,0.232,0.0561,188,1.25103713874384
"189","ZNF697",0.827,0.204,3.129,0.527,0.232,0.0561,189,1.25103713874384
"190","ZNF793",1.118,0.132,2.224,0.528,0.233,0.0569,190,1.24488773360493
"191","ZNF800",1.082,0.14,2.5,0.521,0.234,0.0579,191,1.23732143627256
"192","TTF1",1.173,0.12,2.044,0.528,0.235,0.0585,192,1.23284413391782
"193","ARID1A",0.634,0.263,1.474,0.614,0.237,0.0598,193,1.22329881601159
"194","DMC1",0.947,0.172,2.247,0.533,0.237,0.0598,194,1.22329881601159
"195","DDX20",1.334,0.0911,1.508,0.542,0.238,0.0604,195,1.21896306137887
"196","ZNF263",1.946,0.0258,1.223,0.539,0.239,0.0612,196,1.21324857785444
"197","BAHD1",0.912,0.181,2.386,0.529,0.24,0.0623,197,1.20551195334083
"198","GLIS1",1.5,0.0668,1.473,0.536,0.24,0.0623,198,1.20551195334083
"199","L3MBTL2",1.205,0.114,1.878,0.53,0.24,0.0626,199,1.20342566678957
"200","ZNF24",1.735,0.0414,1.384,0.534,0.242,0.0634,200,1.19791074211827
"201","DEK",1.132,0.129,1.483,0.55,0.243,0.0643,201,1.19178902707578
"202","ZNF141",0.967,0.167,2.017,0.535,0.244,0.0652,202,1.18575240426808
"203","KDM5C",1.702,0.0444,0.34,0.589,0.244,0.0654,203,1.18442225167573
"204","TCF12",1.022,0.153,1.242,0.571,0.246,0.0672,204,1.17263072694617
"205","KDM5B",1.647,0.0498,0.522,0.577,0.246,0.0672,205,1.17263072694617
"206","KDM2B",3.079,0.00104,-0.268,0.599,0.248,0.069,206,1.16115090926274
"207","CTNNB1",1.017,0.155,1.789,0.538,0.249,0.0696,207,1.15739076038944
"208","SSU72",1.078,0.141,1.652,0.543,0.249,0.0696,208,1.15739076038944
"209","ZNF554",0.853,0.197,2.403,0.527,0.25,0.0705,209,1.1518108830086
"210","ZNF506",0.89,0.187,2.234,0.529,0.251,0.0708,210,1.14996674231023
"211","RB1",1.955,0.0253,0.502,0.567,0.251,0.0711,211,1.14813039927023
"212","ZNF48",0.814,0.208,2.663,0.524,0.252,0.072,212,1.14266750356873
"213","ZMYM3",1.359,0.0872,1.07,0.548,0.255,0.0742,213,1.12959609472097
"214","H2AZ",4.759,9.71e-07,-0.305,0.583,0.256,0.0751,214,1.12436006299583
"215","IRF5",0.874,0.191,2.204,0.528,0.256,0.0755,215,1.12205304837081
"216","ZNF207",0.599,0.275,2.231,0.544,0.257,0.0767,216,1.11520463605102
"217","BCOR",1.269,0.102,0.734,0.571,0.259,0.078,217,1.10790539730952
"218","BATF3",1.122,0.131,1.359,0.546,0.259,0.0784,218,1.10568393731556
"219","ILK",0.937,0.175,2.126,0.525,0.261,0.0803,219,1.09528445472132
"220","MYF5",0.927,0.177,1.878,0.532,0.264,0.0827,220,1.08249449044745
"221","PBX3",0.824,0.205,1.25,0.572,0.265,0.0837,221,1.07727454200674
"222","MAZ",1.964,0.0248,0.152,0.576,0.265,0.084,222,1.07572071393812
"223","ZNF486",0.846,0.199,2.569,0.516,0.266,0.0847,223,1.07211658966929
"224","PMEL",0.911,0.181,0.448,0.635,0.267,0.0861,224,1.06499684854635
"225","ZNF138",0.83,0.203,2.213,0.525,0.267,0.0861,225,1.06499684854635
"226","EBNA2",0.978,0.164,1.623,0.536,0.269,0.0871,226,1.05998184499234
"227","LHX2",0.44,0.33,1.238,0.626,0.27,0.0882,227,1.05453141486818
"228","POLR3A",0.91,0.181,1.496,0.546,0.27,0.0882,228,1.05453141486818
"229","IRF1",1.528,0.0633,0.662,0.55,0.271,0.0896,229,1.04769199033787
"230","CDK2",1.003,0.158,2.107,0.518,0.272,0.0903,230,1.04431224968649
"231","BCL11A",0.826,0.205,1.498,0.549,0.272,0.0907,231,1.0423927129399
"232","ZNF382",0.976,0.165,1.851,0.527,0.272,0.0907,232,1.0423927129399
"233","CEBPG",0.892,0.186,1.633,0.537,0.274,0.0929,233,1.03198428600636
"234","GTF3C2",1.241,0.107,1.341,0.53,0.277,0.0954,234,1.0204516252959
"235","DRAP1",1.099,0.136,1.187,0.544,0.278,0.0969,235,1.01367622294923
"236","BRD9",1.214,0.112,1.339,0.528,0.283,0.102,236,0.991399828238082
"237","ZNF479",0.836,0.202,1.92,0.525,0.283,0.102,237,0.991399828238082
"238","ICE2",0.958,0.169,1.501,0.534,0.283,0.102,238,0.991399828238082
"239","MTA2",1.305,0.0959,1.373,0.522,0.285,0.105,239,0.978810700930062
"240","ZEB2",1.472,0.0706,1.534,0.514,0.288,0.107,240,0.97061622231479
"241","FOXA2",0.816,0.207,1.154,0.56,0.288,0.108,241,0.96657624451305
"242","UBE2I",0.857,0.196,1.777,0.527,0.289,0.109,242,0.962573502059376
"243","ZNF788",0.847,0.198,2.482,0.51,0.29,0.11,243,0.958607314841775
"244","SMARCA5",0.696,0.243,1.523,0.547,0.291,0.111,244,0.954677021213343
