"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"139","MAFF",1.475,0.0701,2.841,0.437,0.167,0.0209,139,1.67985371388895
"140","CHD7",1.457,0.0726,1.692,0.506,0.169,0.0218,140,1.6615435063954
"141","MEIS1",1.912,0.028,1.996,0.459,0.169,0.0218,141,1.6615435063954
"142","CEBPG",1.73,0.0418,2.314,0.446,0.172,0.023,142,1.63827216398241
"143","SMARCE1",1.142,0.127,2.331,0.473,0.173,0.0231,143,1.63638802010786
"144","JUN",3.211,0.000661,1.298,0.47,0.174,0.0237,144,1.6252516539899
"145","FOS",1.876,0.0303,1.451,0.485,0.174,0.0239,145,1.62160209905186
"146","DPPA2",1.216,0.112,2.597,0.454,0.174,0.0239,146,1.62160209905186
"147","LDB1",1.234,0.109,2.478,0.456,0.176,0.0244,147,1.61261017366127
"148","SF1",1.105,0.135,2.934,0.442,0.177,0.0249,148,1.60380065290426
"149","HNF4G",1.49,0.0681,1.603,0.495,0.177,0.0251,149,1.60032627851896
"150","ZNF384",1.409,0.0795,1.908,0.479,0.178,0.0254,150,1.59516628338006
"151","CEBPA",1.423,0.0773,1.069,0.666,0.178,0.0255,151,1.59345981956604
"152","IKZF1",2.833,0.00231,1.674,0.451,0.18,0.0263,152,1.58004425151024
"153","MAFG",1.485,0.0688,2.589,0.436,0.18,0.0263,153,1.58004425151024
"154","SRCAP",1.111,0.133,2.849,0.442,0.18,0.0263,154,1.58004425151024
"155","ILK",1.461,0.0719,2.635,0.435,0.181,0.0266,155,1.57511836336893
"156","BCL11A",0.943,0.173,1.684,0.541,0.182,0.0271,156,1.56703070912559
"157","ZNF445",1.242,0.107,2.346,0.457,0.182,0.0271,157,1.56703070912559
"158","ZNF486",1.298,0.0971,2.984,0.424,0.183,0.0274,158,1.56224943717961
"159","LMNB1",1.211,0.113,2.435,0.453,0.183,0.0276,159,1.55909091793478
"160","NFE2L1",1.816,0.0347,2.169,0.437,0.184,0.0279,160,1.5543957967264
"161","PITX3",1.136,0.128,2.671,0.445,0.184,0.0281,161,1.55129368009492
"162","KDM1A",1.557,0.0597,1.867,0.466,0.187,0.0296,162,1.52870828894106
"163","SPIB",1.735,0.0413,2.061,0.44,0.188,0.0301,163,1.52143350440616
"164","ZNF133",1.055,0.146,2.875,0.436,0.189,0.0303,164,1.51855737149769
"165","NFIA",1.466,0.0713,2.476,0.434,0.189,0.0306,165,1.51427857351842
"166","ATF3",1.793,0.0365,1.701,0.46,0.19,0.0308,166,1.51144928349956
"167","ZNF140",1.29,0.0984,2.736,0.429,0.192,0.0317,167,1.49894073778225
"168","ZNF92",1.21,0.113,2.273,0.453,0.194,0.0329,168,1.48280410205003
"169","CBX3",1.276,0.101,2.567,0.435,0.195,0.0333,169,1.47755576649368
"170","TEAD1",2.166,0.0151,1.763,0.442,0.196,0.0338,170,1.47108329972235
"171","NR2F6",1.722,0.0426,2.207,0.429,0.196,0.0338,171,1.47108329972235
"172","BANF1",1.732,0.0417,1.721,0.453,0.197,0.0346,172,1.46092390120722
"173","DACOR1",1.047,0.148,2.719,0.435,0.198,0.0352,173,1.45345733652187
"174","CDCA2",1.202,0.115,2.176,0.453,0.2,0.0357,174,1.44733178388781
"175","JMJD6",2.181,0.0146,0.505,0.516,0.2,0.0359,175,1.44490555142168
"176","ZNF26",1.032,0.151,2.703,0.434,0.203,0.0375,176,1.42596873227228
"177","ARID3A",1.588,0.0561,1.932,0.44,0.204,0.0381,177,1.41907502432438
"178","GFI1B",1.036,0.15,2.378,0.444,0.205,0.0389,178,1.41005039867429
"179","ZNF320",1.494,0.0676,2.434,0.418,0.206,0.0393,179,1.40560744962457
"180","PRDM14",1.183,0.118,2.096,0.45,0.206,0.0395,180,1.40340290437354
"181","NFIL3",1.215,0.112,1.967,0.454,0.208,0.0406,181,1.39147396642281
"182","GRHL3",1.689,0.0456,1.701,0.444,0.211,0.0421,182,1.37571790416433
