"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"99","MEF2B",3.095,0.000984,1.91,0.476,0.124,0.00866,99,2.06248210798265
"100","SUMO1",4.499,3.41e-06,1.85,0.472,0.125,0.00881,100,2.05502409158795
"101","SUZ12",3.986,3.36e-05,1.018,0.743,0.126,0.00896,101,2.04769199033787
"102","ZNF485",1.291,0.0983,2.818,0.469,0.127,0.0092,102,2.03621217265444
"103","FANCD2",1.29,0.0986,2.815,0.469,0.128,0.00943,103,2.02548830726267
"104","JUND",2.88,0.00199,2.009,0.468,0.129,0.00975,104,2.01099538430146
"105","ZNF750",1.292,0.0982,2.699,0.469,0.129,0.00975,105,2.01099538430146
"106","FOSL2",7.234,2.34e-13,1.508,0.485,0.13,0.00992,106,2.00348832784582
"107","ZNF436",1.427,0.0767,2.289,0.482,0.13,0.01,107,2
"108","PR",1.664,0.0481,1.543,0.542,0.131,0.0102,108,1.99139982823808
"109","SIX1",1.619,0.0527,2.461,0.464,0.133,0.0107,109,1.97061622231479
"110","PRDM6",1.517,0.0647,2.021,0.491,0.136,0.0112,110,1.95078197732982
"111","HES2",6.048,7.35e-10,1.571,0.478,0.136,0.0113,111,1.94692155651658
"112","ZNF680",1.581,0.0569,2.545,0.456,0.139,0.012,112,1.92081875395238
"113","ZNF317",1.404,0.0801,2.523,0.466,0.139,0.0121,113,1.91721462968355
"114","ZNF384",1.577,0.0574,2.083,0.479,0.139,0.0121,114,1.91721462968355
"115","SP140",1.932,0.0267,1.924,0.478,0.141,0.0126,115,1.89962945488244
"116","SMARCE1",1.235,0.109,2.461,0.475,0.142,0.0128,116,1.89279003035213
"117","ZNF92",1.313,0.0946,2.408,0.471,0.143,0.0132,117,1.87942606879415
"118","ZNF22",1.211,0.113,2.673,0.461,0.144,0.0134,118,1.87289520163519
"119","MYOD1",1.919,0.0275,2.138,0.457,0.144,0.0135,119,1.86966623150499
"120","CBX2",1.553,0.0602,1.831,0.496,0.145,0.0136,120,1.86646109162978
"121","KDM1A",1.268,0.102,1.624,0.533,0.145,0.0137,121,1.86327943284359
"122","ZNF382",1.874,0.0304,2.67,0.436,0.145,0.0138,122,1.86012091359876
"123","ZNF793",1.453,0.0731,2.579,0.455,0.146,0.0139,123,1.85698519974591
"124","JUN",3.743,9.09e-05,1.471,0.479,0.146,0.0141,124,1.85078088734462
"125","NR2F2",2.047,0.0203,1.801,0.47,0.151,0.0155,125,1.80966830182971
"126","MAFF",1.399,0.0809,2.749,0.441,0.153,0.0162,126,1.79048498545737
"127","SPIB",1.701,0.0445,2.038,0.46,0.154,0.0164,127,1.7851561519523
"128","GRHL2",1.798,0.0361,1.598,0.487,0.155,0.0167,128,1.77728352885242
