"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"237","SPI1",0.42,0.337,0.262,0.562,0.263,0.0817,237,1.08777794346758
"238","EBF1",0.772,0.22,0.795,0.467,0.263,0.0823,238,1.08460016478773
"239","PRDM14",0.673,0.25,1.35,0.45,0.264,0.083,239,1.08092190762393
"240","ZNF384",0.684,0.247,1.154,0.456,0.266,0.0847,240,1.07211658966929
"241","ZNF134",0.52,0.302,1.902,0.43,0.266,0.0847,241,1.07211658966929
"242","APOBEC3B",0.684,0.247,1.235,0.451,0.266,0.0851,242,1.07007043991541
"243","LARP7",0.335,0.369,1.437,0.469,0.27,0.0882,243,1.05453141486818
"244","ZNF16",0.45,0.326,1.517,0.454,0.27,0.0889,244,1.05109823902979
"245","ZSCAN16",0.44,0.33,1.1,0.473,0.27,0.0889,245,1.05109823902979
"246","MAFG",0.676,0.25,1.711,0.425,0.271,0.0896,246,1.04769199033787
"247","ZFP41",0.554,0.29,1.856,0.424,0.273,0.0918,247,1.03715731879876
"248","LYL1",0.706,0.24,0.905,0.456,0.276,0.0951,248,1.02181948306259
"249","ZNF202",0.377,0.353,0.735,0.501,0.278,0.0966,249,1.01502287358451
"250","SMAD2-SMAD3",0.319,0.375,0.646,0.513,0.279,0.0977,250,1.01010543628123
"251","ETV5",0.448,0.327,0.719,0.486,0.281,0.1,251,1
"252","CBX3",0.323,0.373,1.803,0.44,0.282,0.101,252,0.995678626217357
"253","FOXO3",0.345,0.365,0.929,0.479,0.283,0.102,253,0.991399828238082
"254","ELF3",0.827,0.204,0.958,0.438,0.284,0.103,254,0.987162775294828
"255","SMARCE1",0.428,0.334,1.327,0.456,0.284,0.104,255,0.98296666070122
"256","ZNF320",0.62,0.268,1.601,0.423,0.286,0.105,256,0.978810700930062
"257","RYBP",0.907,0.182,-0.407,0.483,0.289,0.109,257,0.962573502059376
"258","ZNF274",0.456,0.324,2.174,0.407,0.289,0.109,258,0.962573502059376
"259","TRIM22",0.854,0.197,0.699,0.445,0.289,0.109,259,0.962573502059376
"260","BATF",0.511,0.305,0.565,0.473,0.292,0.112,260,0.950781977329818
"261","ATF2",0.383,0.351,0.752,0.472,0.296,0.117,261,0.931814138253838
"262","ILK",0.501,0.308,1.703,0.419,0.297,0.117,262,0.931814138253838
"263","EGLN2",0.592,0.277,1.083,0.439,0.298,0.12,263,0.920818753952375
"264","LMNB1",0.5,0.309,1.492,0.427,0.3,0.121,264,0.91721462968355
"265","H3F3B",0.431,0.333,1.817,0.419,0.3,0.122,265,0.913640169325252
